side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
short,primary,2023-08-30 00:00:00,2023-09-06 16:00:00,27391.13,26014.14,0.065227,28305.81,175.91,True,184.0
short,rolling,2023-09-05 12:00:00,2023-09-07 20:00:00,25759.37,26056.31,0.039136,26056.31,-12.64,False,56.0
short,rolling,2023-09-05 20:00:00,2023-09-07 20:00:00,25792.1,26081.77,0.023482,26081.77,-7.41,False,48.0
short,rolling,2023-09-06 00:00:00,2023-09-07 20:00:00,25782.86,26057.25,0.014089,26057.25,-4.23,False,44.0
long,primary,2023-09-12 00:00:00,2023-09-21 08:00:00,25797.97,26669.84,0.070387,24716.92,171.7,True,224.0
long,rolling,2023-09-20 16:00:00,2023-09-21 12:00:00,26930.61,26417.78,0.042232,26417.78,-22.77,False,20.0
long,rolling,2023-09-21 04:00:00,2023-09-21 12:00:00,26990.11,26525.03,0.025339,26525.03,-12.46,False,8.0
short,primary,2023-09-18 16:00:00,2023-10-01 20:00:00,26814.79,27638.08,0.135382,27638.08,-115.2,False,316.0
short,primary,2023-10-20 16:00:00,2023-10-21 16:00:00,29561.41,30166.13,0.123017,30166.13,-78.1,False,24.0
short,primary,2023-11-02 12:00:00,2023-11-09 00:00:00,34640.01,36230.94,0.104038,36230.94,-169.29,False,156.0
short,primary,2023-11-09 16:00:00,2023-11-24 12:00:00,36382.2,38183.63,0.097155,38183.63,-178.73,False,356.0
short,primary,2023-12-04 12:00:00,2023-12-05 16:00:00,41270.33,42707.09,0.083881,42707.09,-124.1,False,28.0
long,rolling,2023-12-19 00:00:00,2023-12-19 16:00:00,43082.2,42135.3,0.024796,42135.3,-24.52,False,16.0
long,primary,2023-12-18 12:00:00,2023-12-24 20:00:00,41265.96,42814.57,0.041327,40122.76,131.32,True,152.0
long,rolling,2023-12-20 12:00:00,2023-12-24 20:00:00,44027.2,42978.88,0.014878,42978.88,-16.24,False,104.0
long,rolling,2023-12-24 04:00:00,2023-12-24 20:00:00,43651.17,43041.39,0.008927,43041.39,-5.83,False,16.0
long,primary,2023-12-30 08:00:00,2024-01-03 08:00:00,41893.96,44070.14,0.041085,40617.41,164.47,True,96.0
long,rolling,2024-01-01 20:00:00,2024-01-03 08:00:00,44179.55,44249.93,0.012326,43475.74,12.78,True,36.0
long,rolling,2024-01-02 00:00:00,2024-01-03 08:00:00,45402.38,44592.84,0.014791,44592.84,-12.63,False,32.0
long,primary,2024-01-19 08:00:00,2024-01-19 16:00:00,41475.37,40314.93,0.084538,40314.93,-101.51,False,8.0
short,primary,2024-02-08 20:00:00,2024-02-09 00:00:00,45288.65,46311.52,0.076461,46311.52,-81.75,False,4.0
long,rolling,2024-02-12 12:00:00,2024-02-13 12:00:00,49917.8,48893.85,0.008628,48893.85,-9.26,False,24.0
long,primary,2024-01-31 12:00:00,2024-02-20 16:00:00,43361.1,51054.83,0.039946,41633.04,407.0,True,484.0
long,rolling,2024-02-09 00:00:00,2024-02-20 16:00:00,46060.74,51054.83,0.011984,45284.0,72.63,True,280.0
long,rolling,2024-02-09 08:00:00,2024-02-20 16:00:00,47180.02,51054.83,0.00719,46298.81,36.65,True,272.0
short,primary,2024-02-15 04:00:00,2024-02-26 16:00:00,51776.61,53560.75,0.067093,53560.75,-123.3,False,276.0
short,primary,2024-03-05 04:00:00,2024-03-06 04:00:00,66129.64,65707.62,0.021208,70349.8,140.54,True,24.0
short,rolling,2024-03-06 00:00:00,2024-03-06 04:00:00,63263.21,66671.47,0.012725,66671.47,-44.22,False,4.0
short,rolling,2024-03-19 08:00:00,2024-03-19 16:00:00,63081.34,65685.85,0.009091,65685.85,-24.27,False,8.0
short,rolling,2024-03-19 08:00:00,2024-03-19 16:00:00,63081.34,65685.85,0.005454,65685.85,-14.56,False,8.0
short,primary,2024-03-12 00:00:00,2024-03-20 20:00:00,71619.0,66375.43,0.025252,74207.26,227.06,True,212.0
short,rolling,2024-03-15 00:00:00,2024-03-20 20:00:00,68224.01,66375.43,0.007576,70736.58,41.56,True,140.0
short,primary,2024-03-23 20:00:00,2024-03-24 20:00:00,63990.01,67344.03,0.055258,67344.03,-189.06,False,24.0
long,primary,2024-03-29 20:00:00,2024-04-02 00:00:00,69850.54,67932.52,0.051964,67932.52,-103.2,False,76.0
short,primary,2024-04-05 04:00:00,2024-04-07 12:00:00,66930.74,69829.49,0.053592,69829.49,-159.09,False,56.0
long,primary,2024-04-25 12:00:00,2024-04-30 08:00:00,64135.94,61428.0,0.054913,61428.0,-152.07,False,116.0
