total_return_pct,final_equity,max_drawdown_pct,sharpe_ratio,win_rate_pct,profit_factor,total_trades,long_trades,short_trades,long_pnl,short_pnl,liquidations,liq_loss,avg_win,avg_loss,cooldown,leverage_tier,risk_pct,trail_atr_mult,fib_tolerance,long_only,score
132995.24,13309523.63,56.07,1.638,49.25,7.207,67,67,0,13588074.85,0.0,1,438864.44,478101.14,-64390.08,24,aggressive,0.08,2.0,0.005,True,37067.05962421972
131067.65,13116765.03,54.85,1.749,45.68,7.432,81,81,0,13445174.62,0.0,1,408491.4,419882.06,-47510.49,18,aggressive,0.05,3.5,0.012,True,37057.34677757521
130611.45,13071145.09,54.85,1.746,48.89,6.319,90,81,9,13666843.19,-205085.91,1,384190.94,363471.96,-55021.94,18,aggressive,0.05,2.5,0.012,False,36922.89948951687
130410.21,13051021.01,54.85,1.741,52.44,8.415,82,73,9,13502226.89,-147176.38,1,302253.88,352467.8,-46181.15,24,aggressive,0.05,3.5,0.012,False,36876.4163372835
130072.91,13017290.7,54.85,1.748,45.68,7.403,81,81,0,13342298.36,0.0,1,411528.32,416921.74,-47359.23,18,aggressive,0.05,2.5,0.012,True,36776.341350957155
131706.52,13180651.87,56.07,1.751,50.0,6.739,72,72,0,13506907.78,0.0,1,402393.32,440562.67,-65370.79,18,aggressive,0.05,2.0,0.005,True,36709.396354378456
128589.23,12868922.65,54.85,1.935,50.0,9.854,86,86,0,13178663.57,0.0,1,178537.18,341094.46,-34613.91,12,aggressive,0.03,2.5,0.012,True,36375.34062989973
127503.11,12760311.31,54.85,1.74,49.32,10.28,73,73,0,13005763.34,0.0,1,317858.86,400202.66,-37879.25,24,aggressive,0.05,3.5,0.012,True,36063.592221513216
127469.81,12756980.56,54.85,1.742,48.89,6.261,90,81,9,13341462.24,-200747.21,1,382035.38,355424.21,-54303.27,18,aggressive,0.05,3.0,0.012,False,36035.55611850502
134290.94,13439094.38,59.72,1.754,47.37,8.359,76,76,0,13727892.11,0.0,1,384421.87,433149.59,-46637.33,18,aggressive,0.05,3.0,0.008,True,35965.830553918284
133646.74,13374674.36,59.37,1.753,47.37,8.322,76,76,0,13662564.29,0.0,1,386541.42,431349.14,-46650.12,18,aggressive,0.05,2.5,0.008,True,35925.9542796025
126944.21,12704420.56,54.85,1.744,45.68,7.322,81,81,0,13023814.44,0.0,1,409219.39,407673.35,-46820.45,18,aggressive,0.05,3.0,0.012,True,35892.53614129445
126782.14,12688213.69,54.85,1.737,52.44,8.325,82,73,9,13123088.0,-138619.91,1,303929.63,343189.77,-45453.65,24,aggressive,0.05,3.0,0.012,False,35851.58628350046
126734.17,12683417.32,54.85,1.737,52.44,8.32,82,73,9,13115629.27,-135905.24,1,305605.38,343092.03,-45467.52,24,aggressive,0.05,2.5,0.012,False,35838.01861349134
127632.79,12773279.3,55.58,1.561,50.0,4.31,74,65,9,13266814.25,-55351.09,1,1101195.93,464931.37,-107864.79,36,aggressive,0.08,2.5,0.012,False,35759.29712882332
125431.66,12553165.99,55.54,1.559,50.0,4.276,74,65,9,13042974.54,-55105.36,1,1093069.52,458164.67,-107141.17,36,aggressive,0.08,3.5,0.012,False,35159.25832625135
131655.01,13175501.45,60.07,1.75,47.37,8.281,76,76,0,13460288.82,0.0,1,382302.32,425245.94,-46214.13,18,aggressive,0.05,3.5,0.008,True,35131.19791276844
123955.85,12405585.48,54.85,1.735,49.32,10.11,73,73,0,12645061.05,0.0,1,319621.12,389808.13,-37514.37,24,aggressive,0.05,3.0,0.012,True,35061.9960756609
123908.96,12400895.95,54.85,1.735,49.32,10.086,73,73,0,12640518.0,0.0,1,321383.39,389768.52,-37598.62,24,aggressive,0.05,2.5,0.012,True,35048.75830628989
123682.08,12378208.05,54.85,1.918,52.04,5.814,98,87,11,13072977.31,-269475.21,1,177483.57,303196.23,-56585.23,12,aggressive,0.03,2.0,0.012,False,34969.26658705561
123452.04,12355203.88,54.85,1.627,50.63,7.332,79,70,9,12746468.41,-114629.81,1,354854.05,365672.04,-51154.95,24,aggressive,0.08,3.0,0.008,False,34903.18275113947
122847.3,12294729.56,54.85,1.626,50.63,7.315,79,70,9,12681418.4,-110936.58,1,356810.58,364022.79,-51036.66,24,aggressive,0.08,2.5,0.008,False,34732.34033272562
124515.35,12461534.55,56.18,1.558,50.0,4.266,74,65,9,12946650.1,-53566.35,1,1095017.51,455152.39,-106690.67,36,aggressive,0.08,3.0,0.012,False,34645.888645425424
121028.7,12112870.26,54.85,1.624,50.63,7.274,79,70,9,12498491.39,-112881.3,1,352897.53,358993.21,-50618.42,24,aggressive,0.08,3.5,0.008,False,34218.65653600729
120241.52,12034152.38,54.86,1.553,48.61,4.214,72,63,9,12503297.47,-51100.22,1,1050847.28,466471.06,-104710.54,36,aggressive,0.08,2.5,0.008,False,33974.97752679548
119047.02,11914701.96,54.85,1.552,48.61,4.182,72,63,9,12383673.95,-51207.29,1,1050847.28,463096.37,-104754.22,36,aggressive,0.08,3.5,0.008,False,33641.57774293529
117787.78,11788778.3,54.85,1.917,49.43,7.092,87,87,0,12118243.07,0.0,1,179516.17,328080.06,-45209.08,12,aggressive,0.03,2.0,0.012,True,33311.57489152233
117966.9,11806689.87,55.47,1.55,48.61,4.172,72,63,9,12270378.43,-49679.3,1,1050847.28,459244.0,-104130.83,36,aggressive,0.08,3.0,0.008,False,33094.90286100595
116443.82,11654381.54,54.85,1.728,50.0,5.699,86,77,9,12167134.66,-169581.06,1,343134.64,338387.11,-59374.23,18,aggressive,0.05,2.0,0.008,False,32919.51927894258
115528.67,11562866.93,54.85,1.722,51.81,6.482,83,74,9,12008985.88,-135654.53,1,307281.13,326489.26,-54142.67,24,aggressive,0.05,2.0,0.012,False,32664.893335460347
115429.23,11552923.08,54.98,1.548,49.33,3.765,75,66,9,12052688.82,-47750.62,1,1107374.34,441813.67,-114267.57,36,aggressive,0.08,2.0,0.012,False,32567.995188068395
120699.93,12079993.42,59.72,1.623,47.14,8.514,70,70,0,12303020.37,0.0,1,373174.7,422438.63,-44255.53,24,aggressive,0.08,3.0,0.008,True,32327.78587340924
120108.66,12020866.15,59.37,1.623,47.14,8.478,70,70,0,12243316.75,0.0,1,375232.24,420620.31,-44247.39,24,aggressive,0.08,2.5,0.008,True,32288.736570995454
112953.06,11305305.66,54.85,1.72,48.65,7.515,74,74,0,11558602.3,0.0,1,323145.65,370354.1,-46688.04,24,aggressive,0.05,2.0,0.012,True,31942.863953509568
112757.2,11285719.8,54.85,1.722,48.35,5.159,91,82,9,11864608.36,-193477.27,1,365361.87,329032.24,-59708.25,18,aggressive,0.05,2.0,0.012,False,31875.849658158615
